id,name,images,emote_type,emote_set_id,owner_id
306463789,redym8Gold,https://static-cdn.jtvnw.net/emoticons/v1/306463789/3.0,subscriptions,300010329,195575607
300232700,vihshuTheoNoo,https://static-cdn.jtvnw.net/emoticons/v1/300232700/3.0,subscriptions,300010336,218525414
300227419,vihshuOOPS,https://static-cdn.jtvnw.net/emoticons/v1/300227419/3.0,subscriptions,300010336,218525414
300942785,shocka5Risos,https://static-cdn.jtvnw.net/emoticons/v1/300942785/3.0,subscriptions,300010339,81372519
300942788,shocka5Pride,https://static-cdn.jtvnw.net/emoticons/v1/300942788/3.0,subscriptions,300010340,81372519
300942794,shocka5Heart,https://static-cdn.jtvnw.net/emoticons/v1/300942794/3.0,subscriptions,300010341,81372519
300999931,xrushaRushGG,https://static-cdn.jtvnw.net/emoticons/v1/300999931/3.0,subscriptions,300010342,90661672
300989553,nickyf4STANK,https://static-cdn.jtvnw.net/emoticons/v1/300989553/3.0,subscriptions,300010345,59708418
300989554,nickyf4Fisch,https://static-cdn.jtvnw.net/emoticons/v1/300989554/3.0,subscriptions,300010346,59708418
302747579,r3df0xJam,https://static-cdn.jtvnw.net/emoticons/v1/302747579/3.0,subscriptions,300010351,69859413
302747573,r3df0xNut,https://static-cdn.jtvnw.net/emoticons/v1/302747573/3.0,subscriptions,300010351,69859413
302747568,r3df0xCry,https://static-cdn.jtvnw.net/emoticons/v1/302747568/3.0,subscriptions,300010351,69859413
302747555,r3df0xHeart,https://static-cdn.jtvnw.net/emoticons/v1/302747555/3.0,subscriptions,300010351,69859413
302747550,r3df0xRage,https://static-cdn.jtvnw.net/emoticons/v1/302747550/3.0,subscriptions,300010351,69859413
300043747,xanxarHeart,https://static-cdn.jtvnw.net/emoticons/v1/300043747/3.0,subscriptions,300010354,147018794
300768446,grumpy79Fear,https://static-cdn.jtvnw.net/emoticons/v1/300768446/3.0,subscriptions,300010370,192054660
300652320,grumpy79Trophy,https://static-cdn.jtvnw.net/emoticons/v1/300652320/3.0,subscriptions,300010370,192054660
301995165,manneePeak,https://static-cdn.jtvnw.net/emoticons/v1/301995165/3.0,subscriptions,300010378,187034583
300163972,manneeBushsus,https://static-cdn.jtvnw.net/emoticons/v1/300163972/3.0,subscriptions,300010378,187034583
300079262,manneeJdbush,https://static-cdn.jtvnw.net/emoticons/v1/300079262/3.0,subscriptions,300010378,187034583
300079269,manneeLovebush,https://static-cdn.jtvnw.net/emoticons/v1/300079269/3.0,subscriptions,300010379,187034583
300079277,manneeKingbush,https://static-cdn.jtvnw.net/emoticons/v1/300079277/3.0,subscriptions,300010380,187034583
308044975,alainlCooLPride,https://static-cdn.jtvnw.net/emoticons/v1/308044975/3.0,subscriptions,300010387,126879999
308044982,alainlAngry,https://static-cdn.jtvnw.net/emoticons/v1/308044982/3.0,subscriptions,300010387,126879999
308044985,alainlLove,https://static-cdn.jtvnw.net/emoticons/v1/308044985/3.0,subscriptions,300010387,126879999
308045005,alainlTortuguita,https://static-cdn.jtvnw.net/emoticons/v1/308045005/3.0,subscriptions,300010387,126879999
308045042,alainlClem,https://static-cdn.jtvnw.net/emoticons/v1/308045042/3.0,subscriptions,300010387,126879999
308045011,alainlTriste,https://static-cdn.jtvnw.net/emoticons/v1/308045011/3.0,subscriptions,300010388,126879999
308045014,alainlPicaron,https://static-cdn.jtvnw.net/emoticons/v1/308045014/3.0,subscriptions,300010389,126879999
301353692,theupcZeldareach,https://static-cdn.jtvnw.net/emoticons/v1/301353692/3.0,subscriptions,300010393,89107223
301353688,theupcZeldapat,https://static-cdn.jtvnw.net/emoticons/v1/301353688/3.0,subscriptions,300010393,89107223
301353684,theupcZeldaheart,https://static-cdn.jtvnw.net/emoticons/v1/301353684/3.0,subscriptions,300010393,89107223
301353676,theupcLinkheart,https://static-cdn.jtvnw.net/emoticons/v1/301353676/3.0,subscriptions,300010393,89107223
300151375,theupcLinktoxic,https://static-cdn.jtvnw.net/emoticons/v1/300151375/3.0,subscriptions,300010393,89107223
301179761,scrapoChad,https://static-cdn.jtvnw.net/emoticons/v1/301179761/3.0,subscriptions,300010396,31841930
302092533,fpslimATHANOS,https://static-cdn.jtvnw.net/emoticons/v1/302092533/3.0,subscriptions,300010399,58177820
302403351,fpslimAGG,https://static-cdn.jtvnw.net/emoticons/v1/302403351/3.0,subscriptions,300010400,58177820
302405823,fpslimAVAC,https://static-cdn.jtvnw.net/emoticons/v1/302405823/3.0,subscriptions,300010401,58177820
300082283,iceque3GG,https://static-cdn.jtvnw.net/emoticons/v1/300082283/3.0,subscriptions,300010402,10810816
300018865,iceque3Hey,https://static-cdn.jtvnw.net/emoticons/v1/300018865/3.0,subscriptions,300010403,10810816
300018868,iceque3Rage,https://static-cdn.jtvnw.net/emoticons/v1/300018868/3.0,subscriptions,300010404,10810816
301705599,mrchil16Love,https://static-cdn.jtvnw.net/emoticons/v1/301705599/3.0,subscriptions,300010411,153319040
